old_event_name,new_event_name,product_type,current_screen_name,action_on,action_type,cta_type
CHATS_SEARCH_DOCTORS_VISIT,EXIT,23,CHATS_SEARCH_DOCTORS,,,
CHAT_DETAIL_VISIT,DETAIL_EXIT,23,CHAT_DETAIL,,,
NEW_GROUP_VISIT,EXIT,23,GROUP_MEMBERS,,,
NEW_GROUP_DETAILS_VISIT,EXIT,23,GROUP_WINDOW,,,
CHAT_ICON_CLICK,CLICK,23,,CHAT,CLICK,TOP_BAR
CHATS_TAB_CLICK,NAVIGATION_BAR_CLICK,23,,CHATS,CLICK,TAB
START_MESSAGING_CLICK,CLICK,23,,START_MESSAGING,CLICK,BUTTON
CHAT_SEND_CLICK,CLICK,23,,SEND_MESSAGE,CLICK,BUTTON
NEW_GROUP_CREATE_CLICK,CLICK,23,,CREATE_GROUP_CHAT,CLICK,BUTTON
CREATE_GROUP_DONE_CLICK,SUBMIT,23,,GROUP_CREATION,CLICK,BUTTON
CHAT_EXPANDED_VIEW_CLICK,CLICK,23,,EXPAND_VIEW,CLICK,BUTTON
ATTACH_MEDIA_CLICK,CLICK,23,,ATTACH_MEDIA,CLICK,BUTTON
EXIT_GROUP_CLICK,CLICK,23,,EXIT_GROUP,CLICK,MORE_OPTIONS
REMOVE_USER_CLICK,CLICK,23,,REMOVE_MEMBER,CLICK,MORE_OPTIONS
GROUP_ADD_MEMBER_CLICK,CLICK,23,,ADD_MEMBER,CLICK,MORE_OPTIONS
MUTE_NOTIFICATION_CLICK,CLICK,23,,MUTE_INBOX_NOTIF,CLICK,MORE_OPTION
UNMUTE_NOTIFICATION_CLICK,CLICK,23,,UNMUTE_INBOX_NOTIF,CLICK,MORE_OPTIONS
BLOCK_CHAT_CLICK,CLICK,23,,BLOCK,CLICK,MORE_OPTIONS
UNBLOCK_CHAT_CLICK,CLICK,23,,UNBLOCK,CLICK,MORE_OPTIONS
